"dwc.family","dwc.genus","dwc.specificEpithet","idigbio.uuid","dwc.scientificName","dwc.occurrenceID","dwc.decimalLatitude","dwc.decimalLongitude"
"Holothuriidae","Holothuria","pyxis","26c812cf-d1e9-4841-8374-6c3a7fac98c1","Holothuria (Acanthotrapeza) pyxis","MCZ:IZ:HOL-1100",13.506196,120.953295
"Holothuriidae","Holothuria","pyxis","aa216713-54c1-4e86-bc5c-98fba3e1fd63","Holothuria (Acanthotrapeza) pyxis","MCZ:IZ:HOL-1018",-9.91518,144.05164
"Holothuriidae","Holothuria","pyxis","c6f2020c-b4cb-4599-ac8b-baa7fbd48a80","Holothuria (Acanthotrapeza) pyxis","MCZ:IZ:HOL-1795",NA,NA
"Holothuriidae","Holothuria","pyxis","4c7cbc1d-dd4b-42b1-b7c4-a8986e90f3ff","Holothuria (Acanthotrapeza) pyxis","MCZ:IZ:HOL-561",11.167626,123.722643
"Holothuriidae","Holothuria","pyxis","ba8be976-2f91-4388-8cb5-dccff84b9e6e","Holothuria (Acanthotrapeza) pyxis","MCZ:IZ:HOL-553",6.882843,158.230164
"Holothuriidae","Holothuria","annulifera","b0fecedc-2f59-4e6a-8f43-8f7e430ae7cd","Holothuria annulifera","urn:catalog:CAS:IZ:184142",NA,NA
"Holothuriidae","Holothuria","canaliculata","e284525e-a5b9-483f-95b4-bb971cba2e06","Holothuria canaliculata","FFFBBA6F-F86B-4332-9B1C-AD9D37321C0D",NA,NA
"Holothuriidae","Holothuria","casoae","6d4053a6-c155-4b48-b5a6-8d1c2d0e42d1","Holothuria casoae","5F112E8A-9CAC-4253-82E9-76629CCE3462",NA,NA
"Holothuriidae","Holothuria","cavans","f2c4eccd-3f06-47eb-877f-849eb8cdf271","Holothuria cavans","EF5E0665-D385-4F18-AF5D-F6EC0A7AED4A",2.14073333333333,118.51
"Holothuriidae","Holothuria","n sp","960c7451-9218-472c-96b4-62c31338390a","Holothuria (Cystipus)","MCZ:IZ:HOL-1919",-1.135076,-91.772046
"Holothuriidae","Holothuria","n sp","1f1353c2-5c3a-42d4-99c4-f2fd96a35581","Holothuria (Cystipus)","MCZ:IZ:HOL-874",NA,NA
"Holothuriidae","Holothuria","n sp","1ffaf0ff-05a7-4800-bd47-698e4d10696e","Holothuria (Cystipus)","MCZ:IZ:32007",24.162345,-110.35825
"Holothuriidae","Holothuria","n sp","695095c8-5e16-4f74-9336-9e5f1d421081","Holothuria (Cystipus)","MCZ:IZ:HOL-2081",24.322626,-109.713983
"Holothuriidae","Holothuria","n sp","1b76fbe8-f6ec-4164-ac42-65c5ffabb1f4","Holothuria (Cystipus)","MCZ:IZ:HOL-2126",15.839126,-97.076816
"Holothuriidae","Holothuria","occidentalis","04a0d8d5-a22f-4e81-9147-b83b006944cc","Holothuria (Cystipus) occidentalis","MCZ:IZ:HOL-2022",22.775,-79
